"Year
of
Death","Geographic
Region",State of Death,Sex,"Veteran
Suicides"
2001,Western,Washington,Male,150-160
2001,Western,Washington,Female,<10
2001,Western,Washington,All,162
2001,Western,Wyoming,Male,10-20
2001,Western,Wyoming,Female,<10
2001,Western,Wyoming,All,19
2001,All,U.S. Total,Male,5847
2001,All,U.S. Total,Female,154
2001,All,U.S. Total,All,6001
2002,Northeastern,Connecticut,Male,40-50
2002,Northeastern,Connecticut,Female,<10
2002,Northeastern,Connecticut,All,45
2002,Northeastern,Maine,Male,30-40
2002,Northeastern,Maine,Female,<10
2002,Northeastern,Maine,All,38
2002,Northeastern,Massachusetts,Male,80-90
2002,Northeastern,Massachusetts,Female,<10
2002,Northeastern,Massachusetts,All,84
2002,Northeastern,New Hampshire,Male,20-30
2002,Northeastern,New Hampshire,Female,<10
2002,Northeastern,New Hampshire,All,28
2002,Northeastern,New Jersey,Male,80-90
2002,Northeastern,New Jersey,Female,<10
2002,Northeastern,New Jersey,All,87
2002,Northeastern,New York,Male,130-140
2002,Northeastern,New York,Female,<10
2002,Northeastern,New York,All,139
2002,Northeastern,Pennsylvania,Male,260-270
2002,Northeastern,Pennsylvania,Female,<10
2002,Northeastern,Pennsylvania,All,263
2002,Northeastern,Rhode Island,Male,10-20
2002,Northeastern,Rhode Island,Female,<10
2002,Northeastern,Rhode Island,All,13
2002,Northeastern,Vermont,Male,10-20
2002,Northeastern,Vermont,Female,<10
2002,Northeastern,Vermont,All,14
2002,Midwestern,Illinois,Male,200-210
2002,Midwestern,Illinois,Female,<10
2002,Midwestern,Illinois,All,217
2002,Midwestern,Indiana,Male,140-150
2002,Midwestern,Indiana,Female,<10
2002,Midwestern,Indiana,All,150
2002,Midwestern,Iowa,Male,50-60
2002,Midwestern,Iowa,Female,<10
2002,Midwestern,Iowa,All,57
2002,Midwestern,Kansas,Male,70-80
2002,Midwestern,Kansas,Female,<10
2002,Midwestern,Kansas,All,77
2002,Midwestern,Michigan,Male,190-200
2002,Midwestern,Michigan,Female,<10
2002,Midwestern,Michigan,All,198
2002,Midwestern,Minnesota,Male,90-100
2002,Midwestern,Minnesota,Female,<10
2002,Midwestern,Minnesota,All,98
2002,Midwestern,Missouri,Male,160-170
2002,Midwestern,Missouri,Female,<10
2002,Midwestern,Missouri,All,170
2002,Midwestern,Nebraska,Male,30-40
2002,Midwestern,Nebraska,Female,<10
2002,Midwestern,Nebraska,All,38
2002,Midwestern,North Dakota,Male,10-20
2002,Midwestern,North Dakota,Female,<10
2002,Midwestern,North Dakota,All,21
2002,Midwestern,Ohio,Male,260-270
2002,Midwestern,Ohio,Female,<10
2002,Midwestern,Ohio,All,271
2002,Midwestern,South Dakota,Male,20-30
2002,Midwestern,South Dakota,Female,<10
2002,Midwestern,South Dakota,All,25
2002,Midwestern,Wisconsin,Male,110-120
2002,Midwestern,Wisconsin,Female,<10
2002,Midwestern,Wisconsin,All,119
2002,Southern,Alabama,Male,90-100
2002,Southern,Alabama,Female,<10
2002,Southern,Alabama,All,99
2002,Southern,Arkansas,Male,70-80
2002,Southern,Arkansas,Female,<10
2002,Southern,Arkansas,All,74
2002,Southern,Delaware,Male,10-20
2002,Southern,Delaware,Female,<10
2002,Southern,Delaware,All,12
2002,Southern,District of Columbia,Male,<10
2002,Southern,District of Columbia,Female,<10
2002,Southern,District of Columbia,All,<10
2002,Southern,Florida,Male,484
2002,Southern,Florida,Female,11
2002,Southern,Florida,All,495
2002,Southern,Georgia,Male,170-180
2002,Southern,Georgia,Female,<10
2002,Southern,Georgia,All,182
2002,Southern,Kentucky,Male,90-100
2002,Southern,Kentucky,Female,<10
2002,Southern,Kentucky,All,99
2002,Southern,Louisiana,Male,90-100
2002,Southern,Louisiana,Female,<10
2002,Southern,Louisiana,All,101
2002,Southern,Maryland,Male,80-90
2002,Southern,Maryland,Female,<10
2002,Southern,Maryland,All,89
2002,Southern,Mississippi,Male,70-80
2002,Southern,Mississippi,Female,<10
2002,Southern,Mississippi,All,77
2002,Southern,North Carolina,Male,170-180
2002,Southern,North Carolina,Female,<10
2002,Southern,North Carolina,All,182
2002,Southern,Oklahoma,Male,90-100
2002,Southern,Oklahoma,Female,<10
2002,Southern,Oklahoma,All,96
2002,Southern,South Carolina,Male,80-90
2002,Southern,South Carolina,Female,<10
2002,Southern,South Carolina,All,90
2002,Southern,Tennessee,Male,150-160
2002,Southern,Tennessee,Female,<10
2002,Southern,Tennessee,All,160
2002,Southern,Texas,Male,416
2002,Southern,Texas,Female,13
2002,Southern,Texas,All,429
2002,Southern,Virginia,Male,170-180
2002,Southern,Virginia,Female,<10
2002,Southern,Virginia,All,182
2002,Southern,West Virginia,Male,50-60
2002,Southern,West Virginia,Female,<10
2002,Southern,West Virginia,All,59
2002,Western,Alaska,Male,20-30
2002,Western,Alaska,Female,<10
2002,Western,Alaska,All,24
2002,Western,Arizona,Male,190-200
2002,Western,Arizona,Female,<10
2002,Western,Arizona,All,202
2002,Western,California,Male,502
2002,Western,California,Female,12
2002,Western,California,All,514
2002,Western,Colorado,Male,150-160
2002,Western,Colorado,Female,<10
2002,Western,Colorado,All,160
2002,Western,Hawaii,Male,10-20
2002,Western,Hawaii,Female,<10
2002,Western,Hawaii,All,21
