"Year
of
Death","Age
Group","Veteran
Suicide
Deaths","Veteran
Population
Estimate","Veteran
Crude
Rate per
100,000","Male
Veteran
Suicide
Deaths","Male
Veteran
Population
Estimate","Male
Veteran
Crude
Rate per
100,000","Age
Group
2","Female
Veteran
Suicide
Deaths","Female
Veteran
Population
Estimate","Female
Veteran
Crude
Rate per
100,000"
2013,35-54,"1,809","6,004,000",30.1,"1,688","5,165,000",32.7,35-54,121,"839,000",14.4
2013,55-74,"2,424","9,106,000",26.6,"2,360","8,626,000",27.4,55+,71,"636,000",11.2
2013,75+,"1,456","4,798,000",30.3,"1,449","4,642,000",31.2,.,.,.,.
2013,All,"6,503","22,000,000",29.6,"6,249","20,127,000",31.0,All,254,"1,873,000",13.6
2014,18-34,788,"2,073,000",38.0,730,"1,681,000",43.4,18-34,58,"392,000",14.8
2014,35-54,"1,869","5,833,000",32.0,"1,706","5,002,000",34.1,35-54,163,"831,000",19.6
2014,55-74,"2,489","9,058,000",27.5,"2,423","8,547,000",28.3,55+,73,"652,000",11.2
2014,75+,"1,495","4,702,000",31.8,"1,488","4,561,000",32.6,.,.,.,.
2014,All,"6,647","21,666,000",30.7,"6,353","19,791,000",32.1,All,294,"1,875,000",15.7
2015,18-34,842,"2,045,000",41.2,780,"1,658,000",47.0,18-34,62,"387,000",16.0
2015,35-54,"1,862","5,663,000",32.9,"1,710","4,838,000",35.3,35-54,152,"825,000",18.4
2015,55-74,"2,499","8,955,000",27.9,"2,409","8,401,000",28.7,55+,101,"698,000",14.5
2015,75+,"1,415","4,578,000",30.9,"1,404","4,434,000",31.7,.,.,.,.
2015,All,"6,624","21,241,000",31.2,"6,309","19,331,000",32.6,All,315,"1,910,000",16.5
2016,18-34,891,"1,997,000",44.6,834,"1,622,000",51.4,18-34,57,"375,000",15.2
2016,35-54,"1,699","5,496,000",30.9,"1,564","4,682,000",33.4,35-54,135,"814,000",16.6
2016,55-74,"2,454","8,831,000",27.8,"2,360","8,254,000",28.6,55+,107,"710,000",15.1
2016,75+,"1,441","4,539,000",31.7,"1,428","4,406,000",32.4,.,.,.,.
2016,All,"6,496","20,863,000",31.1,"6,197","18,964,000",32.7,All,299,"1,899,000",15.7
2017,18-34,887,"1,951,000",45.5,804,"1,589,000",50.6,18-34,83,"362,000",22.9
2017,35-54,"1,796","5,343,000",33.6,"1,650","4,529,000",36.4,35-54,146,"814,000",17.9
2017,55-74,"2,558","8,674,000",29.5,"2,441","8,056,000",30.3,55+,146,"761,000",19.2
2017,75+,"1,510","4,512,000",33.5,"1,481","4,369,000",33.9,.,.,.,.
2017,All,"6,783","20,480,000",33.1,"6,405","18,543,000",34.5,All,378,"1,937,000",19.5
2018,18-34,905,"1,904,000",47.5,820,"1,547,000",53.0,18-34,85,"357,000",23.8
2018,35-54,"1,744","5,196,000",33.6,"1,604","4,381,000",36.6,35-54,140,"815,000",17.2
2018,55-74,"2,684","8,551,000",31.4,"2,575","7,893,000",32.6,55+,130,"793,000",16.4
2018,75+,"1,435","4,515,000",31.8,"1,414","4,380,000",32.3,.,.,.,.
2018,All,"6,796","20,166,000",33.7,"6,439","18,201,000",35.4,All,357,"1,965,000",18.2
2019,18-34,829,"1,863,000",44.5,772,"1,514,000",51.0,18-34,57,"349,000",16.3
2019,35-54,"1,680","5,075,000",33.1,"1,528","4,258,000",35.9,35-54,152,"817,000",18.6
2019,55-74,"2,452","8,352,000",29.4,"2,338","7,669,000",30.5,55+,134,"826,000",16.2
2019,75+,"1,497","4,507,000",33.2,"1,477","4,364,000",33.8,.,.,.,.
2019,All,"6,489","19,797,000",32.8,"6,144","17,805,000",34.5,All,345,"1,992,000",17.3
2020,18-34,843,"1,827,000",46.1,776,"1,484,000",52.3,18-34,67,"343,000",19.5
2020,35-54,"1,575","4,950,000",31.8,"1,458","4,142,000",35.2,35-54,117,"808,000",14.5
2020,55-74,"2,222","8,096,000",27.4,"2,137","7,387,000",28.9,55+,91,"849,000",10.7
2020,75+,"1,451","4,530,000",32.0,"1,445","4,390,000",32.9,.,.,.,.
2020,All,"6,146","19,403,000",31.7,"5,870","17,403,000",33.7,All,276,"2,000,000",13.8
